city,year,month,sales,volume,median,listings,inventory,date
Abilene,2013,9,195,26237106,127500,985,5.4,2013.66666666667
Abilene,2013,10,167,21781187,119000,993,5.5,2013.75
Abilene,2013,11,145,19950273,113200,946,5.2,2013.83333333333
Abilene,2013,12,145,18412418,104700,938,5.2,2013.91666666667
Abilene,2014,1,115,15391738,117000,922,5.1,2014
Abilene,2014,2,137,17944719,127600,906,5,2014.08333333333
Abilene,2014,3,165,21615979,112400,929,5.1,2014.16666666667
Abilene,2014,4,178,25070931,124500,965,5.4,2014.25
Abilene,2014,5,191,26615130,129300,1001,5.7,2014.33333333333
Abilene,2014,6,230,34398506,135200,1023,5.8,2014.41666666667
Abilene,2014,7,231,35861350,145800,1033,5.8,2014.5
Abilene,2014,8,203,29671329,129200,1024,5.8,2014.58333333333
Abilene,2014,9,201,30904319,135900,1012,5.8,2014.66666666667
Abilene,2014,10,190,25431388,122400,987,5.6,2014.75
Abilene,2014,11,158,24120554,132200,941,5.3,2014.83333333333
Abilene,2014,12,165,23959468,130000,823,4.6,2014.91666666667
Abilene,2015,1,158,23486998,134100,801,4.4,2015
Abilene,2015,2,151,19834263,126500,767,4.1,2015.08333333333
Abilene,2015,3,198,31869437,136800,821,4.4,2015.16666666667
Abilene,2015,4,201,28301159,129600,891,4.7,2015.25
Abilene,2015,5,199,31385757,144700,919,4.8,2015.33333333333
Abilene,2015,6,260,41396230,141500,965,5,2015.41666666667
Abilene,2015,7,268,45845730,148700,986,5,2015.5
Amarillo,2000,1,102,8860000,80000,972,5.3,2000
Amarillo,2000,2,147,13875000,78300,937,5.1,2000.08333333333
Amarillo,2000,3,201,17930000,74800,995,5.5,2000.16666666667
Amarillo,2000,4,176,16955000,87700,985,5.5,2000.25
Amarillo,2000,5,198,19420000,81100,1020,5.6,2000.33333333333
Amarillo,2000,6,206,20035000,84100,1055,5.9,2000.41666666667
Amarillo,2000,7,190,20430000,94300,1193,6.8,2000.5
Amarillo,2000,8,242,25995000,95300,1208,6.6,2000.58333333333
Amarillo,2000,9,158,1.6e+07,91000,1248,6.9,2000.66666666667
Amarillo,2000,10,165,16810000,89000,1191,6.7,2000.75
Amarillo,2000,11,133,13955000,87300,1174,6.7,2000.83333333333
Amarillo,2000,12,158,15800000,88300,1092,6.3,2000.91666666667
Amarillo,2001,1,134,14445000,89000,1087,6.2,2001
Amarillo,2001,2,157,15345000,87100,1037,5.9,2001.08333333333
Amarillo,2001,3,187,19260000,86300,1030,5.9,2001.16666666667
Amarillo,2001,4,199,21740000,93200,1055,6,2001.25
Amarillo,2001,5,225,22225000,88300,1064,5.9,2001.33333333333
Amarillo,2001,6,242,25135000,91200,1092,6,2001.41666666667
Amarillo,2001,7,210,2.5e+07,97100,1141,6.2,2001.5
Amarillo,2001,8,259,29150000,93900,1144,6.2,2001.58333333333
Amarillo,2001,9,183,19035000,87600,1137,6.1,2001.66666666667
Amarillo,2001,10,211,22530000,88400,1137,5.9,2001.75
Amarillo,2001,11,170,18875000,90000,1137,5.8,2001.83333333333
Amarillo,2001,12,166,18270000,96000,1072,5.5,2001.91666666667
Amarillo,2002,1,146,14955000,83300,1071,5.5,2002
Amarillo,2002,2,182,18440000,86400,1090,5.5,2002.08333333333
Amarillo,2002,3,200,20235000,85300,1046,5.2,2002.16666666667
Amarillo,2002,4,209,21345000,89100,1106,5.5,2002.25
Amarillo,2002,5,198,21420000,95600,1140,5.8,2002.33333333333
Amarillo,2002,6,220,25025000,97700,1191,6.1,2002.41666666667
Amarillo,2002,7,213,23185000,99600,1266,6.4,2002.5
Amarillo,2002,8,193,21345000,93900,1256,6.6,2002.58333333333
Amarillo,2002,9,186,22045000,95800,1214,6.4,2002.66666666667
Amarillo,2002,10,176,21245000,91900,1242,6.6,2002.75
Amarillo,2002,11,173,19605000,95000,1249,6.6,2002.83333333333
Amarillo,2002,12,153,14150000,79600,1205,6.4,2002.91666666667
Amarillo,2003,1,165,14985000,79600,1205,6.4,2003
Amarillo,2003,2,176,17255000,86700,1173,6.2,2003.08333333333
Amarillo,2003,3,203,22330000,95500,1293,6.9,2003.16666666667
Amarillo,2003,4,220,23455000,88900,1279,6.7,2003.25
Amarillo,2003,5,264,28375000,98300,1360,7,2003.33333333333
Amarillo,2003,6,260,30990000,108900,1382,7,2003.41666666667
Amarillo,2003,7,296,32085000,93500,1412,6.9,2003.5
Amarillo,2003,8,288,35820000,107400,1422,6.7,2003.58333333333
Amarillo,2003,9,287,30035000,91900,1406,6.3,2003.66666666667
Amarillo,2003,10,238,26325000,95600,1387,6.1,2003.75
Amarillo,2003,11,212,23395000,95000,1349,5.9,2003.83333333333
Amarillo,2003,12,219,22975000,90900,1242,5.3,2003.91666666667
Amarillo,2004,1,181,20110000,90400,1215,5.1,2004
Amarillo,2004,2,227,23885000,94500,1219,5.1,2004.08333333333
Amarillo,2004,3,248,27265000,93500,1186,4.8,2004.16666666667
Amarillo,2004,4,274,30270000,95500,1196,4.8,2004.25
Amarillo,2004,5,289,32160000,94400,1199,4.8,2004.33333333333
Amarillo,2004,6,322,38385000,99600,1248,4.9,2004.41666666667
Amarillo,2004,7,320,39300000,106100,1250,4.8,2004.5
Amarillo,2004,8,263,30490000,98400,1246,4.9,2004.58333333333
Amarillo,2004,9,266,30635000,89700,1241,4.9,2004.66666666667
Amarillo,2004,10,210,24165000,98000,1196,4.7,2004.75
Amarillo,2004,11,228,24865000,97700,1154,4.5,2004.83333333333
Amarillo,2004,12,229,29985000,105500,1090,4.3,2004.91666666667
Amarillo,2005,1,218,24070000,93900,1072,4.2,2005
Amarillo,2005,2,238,29525000,108300,1079,4.2,2005.08333333333
Amarillo,2005,3,268,33065000,109200,1023,3.9,2005.16666666667
Amarillo,2005,4,284,33030000,97700,1082,4.1,2005.25
Amarillo,2005,5,312,40885000,112700,1132,4.3,2005.33333333333
Amarillo,2005,6,340,46910000,117000,1156,4.4,2005.41666666667
Amarillo,2005,7,314,37715000,107200,1221,4.6,2005.5
Amarillo,2005,8,317,42500000,112600,1224,4.6,2005.58333333333
Amarillo,2005,9,309,41940000,111800,1201,4.4,2005.66666666667
Amarillo,2005,10,67,7225000,87000,NA,NA,2005.75
Amarillo,2005,11,235,30815000,112400,1240,4.8,2005.83333333333
Amarillo,2005,12,211,25900000,102500,1121,4.3,2005.91666666667
Amarillo,2006,1,156,20680000,115000,1181,4.6,2006
Amarillo,2006,2,242,32575000,110700,1183,4.6,2006.08333333333
Amarillo,2006,3,321,4.1e+07,105100,1238,4.8,2006.16666666667
Amarillo,2006,4,251,31135000,108700,1248,4.9,2006.25
Amarillo,2006,5,348,4.9e+07,123000,1286,5,2006.33333333333
Amarillo,2006,6,345,46755000,120700,NA,NA,2006.41666666667
Amarillo,2006,7,324,46595000,124300,1439,5.5,2006.5
Amarillo,2006,8,362,50930000,122200,1511,5.7,2006.58333333333
Amarillo,2006,9,288,37365000,114100,NA,NA,2006.66666666667
Amarillo,2006,10,301,37585000,107400,1435,5.1,2006.75
Amarillo,2006,11,235,31405000,114200,1393,4.9,2006.83333333333
Amarillo,2006,12,272,32930000,105200,1252,4.4,2006.91666666667
Amarillo,2007,1,179,22380000,112600,1304,4.5,2007
Amarillo,2007,2,265,31655000,105000,1273,4.4,2007.08333333333
Amarillo,2007,3,277,37430000,117100,1311,4.6,2007.16666666667
Amarillo,2007,4,285,37810000,118400,1313,4.5,2007.25
Amarillo,2007,5,351,46910000,113800,1408,4.8,2007.33333333333
Amarillo,2007,6,348,50975000,117700,1458,5,2007.41666666667
Amarillo,2007,7,326,4.5e+07,114400,1549,5.3,2007.5
Amarillo,2007,8,315,50625000,133100,1584,5.5,2007.58333333333
Amarillo,2007,9,242,34370000,121800,1578,5.6,2007.66666666667
Amarillo,2007,10,243,33060000,116100,1513,5.4,2007.75
Amarillo,2007,11,253,32910000,114800,NA,NA,2007.83333333333
Amarillo,2007,12,216,31950000,129000,1373,5,2007.91666666667
Amarillo,2008,1,187,26055000,123600,1421,5.2,2008
Amarillo,2008,2,274,37900000,122700,1413,5.1,2008.08333333333
Amarillo,2008,3,264,36825000,122300,1336,4.9,2008.16666666667
Amarillo,2008,4,299,45755000,124900,1387,5,2008.25
Amarillo,2008,5,291,41435000,122200,1498,5.5,2008.33333333333
Amarillo,2008,6,296,42955000,122600,1519,5.7,2008.41666666667
Amarillo,2008,7,324,45600000,123100,1564,5.9,2008.5
Amarillo,2008,8,284,40730000,129500,1519,5.7,2008.58333333333
Amarillo,2008,9,254,38575000,132700,1480,5.6,2008.66666666667
Amarillo,2008,10,226,34800000,130000,1474,5.6,2008.75
Amarillo,2008,11,140,19235000,116500,1471,5.8,2008.83333333333
Amarillo,2008,12,170,22755000,117900,1437,5.7,2008.91666666667
Amarillo,2009,1,151,22330000,127300,1430,5.8,2009
Amarillo,2009,2,179,24005000,118800,1458,6.1,2009.08333333333
Amarillo,2009,3,202,27975000,121200,1470,6.3,2009.16666666667
Amarillo,2009,4,227,31570000,126000,1533,6.7,2009.25
Amarillo,2009,5,247,36520000,129500,1506,6.7,2009.33333333333
Amarillo,2009,6,307,46045000,126000,1543,6.8,2009.41666666667
Amarillo,2009,7,254,36730000,124600,1588,7.2,2009.5
Amarillo,2009,8,246,34305000,124700,1589,7.3,2009.58333333333
Amarillo,2009,9,251,32745000,117600,1520,7,2009.66666666667
Amarillo,2009,10,266,37810000,123700,1470,6.7,2009.75
Amarillo,2009,11,263,37462352,123500,1360,5.9,2009.83333333333
Amarillo,2009,12,204,28945000,116500,1261,5.4,2009.91666666667
Amarillo,2010,1,107,16555053,131200,1311,5.7,2010
Amarillo,2010,2,178,23246256,115000,1338,5.8,2010.08333333333
Amarillo,2010,3,203,26989053,113500,1472,6.4,2010.16666666667
Amarillo,2010,4,293,39634272,122800,1474,6.3,2010.25
Amarillo,2010,5,333,45797490,122100,NA,NA,2010.33333333333
Amarillo,2010,6,272,42959136,139400,1449,6.1,2010.41666666667
Amarillo,2010,7,182,25534386,126200,1643,7,2010.5
Amarillo,2010,8,247,42336958,130300,1592,6.8,2010.58333333333
Amarillo,2010,9,205,28885143,125800,1550,6.8,2010.66666666667
Amarillo,2010,10,216,31979853,125500,1527,6.8,2010.75
Amarillo,2010,11,135,20171558,130700,1341,6.2,2010.83333333333
Amarillo,2010,12,185,24975000,118900,1381,6.5,2010.91666666667
Amarillo,2011,1,122,16986129,122700,1480,6.9,2011
Amarillo,2011,2,153,21097782,113800,1409,6.6,2011.08333333333
Amarillo,2011,3,221,31326971,123500,1435,6.7,2011.16666666667
Amarillo,2011,4,226,34340022,126200,1470,7.1,2011.25
Amarillo,2011,5,239,34842734,126600,1507,7.5,2011.33333333333
Amarillo,2011,6,276,43981120,136000,1513,7.5,2011.41666666667
Amarillo,2011,7,267,39229851,124400,1511,7.3,2011.5
Amarillo,2011,8,390,40411846,137100,1534,7,2011.58333333333
Amarillo,2011,9,202,30498652,128000,1496,6.8,2011.66666666667
Amarillo,2011,10,221,33245352,126800,1147,5.2,2011.75
Amarillo,2011,11,196,30877378,128100,1328,5.9,2011.83333333333
Amarillo,2011,12,192,28348675,126700,1153,5.1,2011.91666666667
Amarillo,2012,1,143,20409784,125500,1302,5.7,2012
Amarillo,2012,2,162,22084286,122500,1277,5.6,2012.08333333333
Amarillo,2012,3,248,36909154,131000,1315,5.7,2012.16666666667
Amarillo,2012,4,251,36550052,132100,1355,5.8,2012.25
Amarillo,2012,5,256,47384870,145000,1373,5.9,2012.33333333333
Amarillo,2012,6,320,47567541,131500,1400,5.9,2012.41666666667
Amarillo,2012,7,268,43218765,139300,1446,6.1,2012.5
Amarillo,2012,8,302,51381019,141800,1377,6,2012.58333333333
Amarillo,2012,9,265,41571476,136600,1335,5.7,2012.66666666667
Amarillo,2012,10,242,39504208,138500,1309,5.5,2012.75
Amarillo,2012,11,248,36918379,121500,1252,5.2,2012.83333333333
Amarillo,2012,12,228,35395056,128300,1124,4.6,2012.91666666667
Amarillo,2013,1,187,26444725,115000,1215,4.9,2013
Amarillo,2013,2,175,26609836,127700,1184,4.8,2013.08333333333
Amarillo,2013,3,252,38218836,126200,1130,4.5,2013.16666666667
Amarillo,2013,4,302,46774790,138900,1209,4.8,2013.25
Amarillo,2013,5,304,47772765,137900,1346,5.2,2013.33333333333
Amarillo,2013,6,275,45613832,145100,1366,5.4,2013.41666666667
Amarillo,2013,7,308,50658875,149700,1374,5.3,2013.5
Amarillo,2013,8,287,48385038,145600,1385,5.4,2013.58333333333
Amarillo,2013,9,257,42851137,139700,1367,5.4,2013.66666666667
Amarillo,2013,10,256,42109011,143700,1296,5.1,2013.75
Amarillo,2013,11,209,35271731,132400,1229,4.9,2013.83333333333
Amarillo,2013,12,245,40478351,142200,1146,4.5,2013.91666666667
Amarillo,2014,1,164,30053425,137500,1183,4.7,2014
Amarillo,2014,2,205,32266720,139000,1146,4.5,2014.08333333333
Amarillo,2014,3,244,37477782,138100,1160,4.6,2014.16666666667
Amarillo,2014,4,260,44299103,139400,1202,4.8,2014.25
Amarillo,2014,5,290,46266884,137000,1243,5,2014.33333333333
Amarillo,2014,6,351,59577665,145700,1304,5.1,2014.41666666667
Amarillo,2014,7,305,54629643,150900,1352,5.3,2014.5
Amarillo,2014,8,279,49714220,152500,1337,5.2,2014.58333333333
Amarillo,2014,9,272,45370534,136700,1284,5,2014.66666666667
Amarillo,2014,10,267,43330229,141100,1291,5,2014.75
Amarillo,2014,11,226,36158899,137900,1212,4.7,2014.83333333333
Amarillo,2014,12,239,42276704,145200,1106,4.3,2014.91666666667
Amarillo,2015,1,204,33188726,138500,1120,4.3,2015
Amarillo,2015,2,188,34355428,149400,1084,4.2,2015.08333333333
Amarillo,2015,3,317,53603130,140900,1051,3.9,2015.16666666667
Amarillo,2015,4,314,50570482,147200,1041,3.8,2015.25
Amarillo,2015,5,339,61402581,157900,1085,3.9,2015.33333333333
Amarillo,2015,6,342,61748196,152100,1213,4.4,2015.41666666667
Amarillo,2015,7,354,62261916,149700,1247,4.5,2015.5
Arlington,2000,1,241,26220683,94000,1417,3.7,2000
Arlington,2000,2,337,36618555,94300,1402,3.6,2000.08333333333
Arlington,2000,3,493,56714365,98700,1347,3.4,2000.16666666667
Arlington,2000,4,456,54108160,99000,1346,3.4,2000.25
Arlington,2000,5,498,58688050,103000,1360,3.4,2000.33333333333
Arlington,2000,6,491,61753364,107900,1421,3.5,2000.41666666667
Arlington,2000,7,446,54540495,105800,1434,3.6,2000.5
Arlington,2000,8,507,60875199,103400,1417,3.5,2000.58333333333
Arlington,2000,9,407,52509988,110500,1418,3.5,2000.66666666667
Arlington,2000,10,392,48300376,104100,1418,3.4,2000.75
Arlington,2000,11,338,41776960,107700,1370,3.3,2000.83333333333
Arlington,2000,12,363,46705325,105700,1306,3.2,2000.91666666667
Arlington,2001,1,266,34187727,105700,1428,3.4,2001
Arlington,2001,2,402,48908661,106400,1466,3.5,2001.08333333333
Arlington,2001,3,481,61799819,109700,1516,3.6,2001.16666666667
Arlington,2001,4,487,63515514,111600,1517,3.6,2001.25
Arlington,2001,5,536,69878959,114400,1592,3.7,2001.33333333333
Arlington,2001,6,534,67744182,108500,1627,3.8,2001.41666666667
Arlington,2001,7,500,66350350,116000,1693,3.9,2001.5
Arlington,2001,8,505,65080743,113600,1616,3.7,2001.58333333333
Arlington,2001,9,442,56728723,112000,1656,3.8,2001.66666666667
Arlington,2001,10,407,51328965,113200,1647,3.8,2001.75
Arlington,2001,11,425,53024458,111700,1583,3.6,2001.83333333333
Arlington,2001,12,353,47654250,116400,1464,3.3,2001.91666666667
Arlington,2002,1,314,39966772,112000,1542,3.4,2002
Arlington,2002,2,378,46058048,107500,1653,3.7,2002.08333333333
Arlington,2002,3,461,58346224,113700,1643,3.7,2002.16666666667
Arlington,2002,4,468,61356437,111800,1683,3.8,2002.25
Arlington,2002,5,503,67240236,116100,1741,3.9,2002.33333333333
Arlington,2002,6,495,64673182,116300,1811,4.1,2002.41666666667
Arlington,2002,7,509,66954143,119100,1925,4.4,2002.5
Arlington,2002,8,467,62199241,117200,1909,4.4,2002.58333333333
Arlington,2002,9,426,54118102,116100,1955,4.5,2002.66666666667
Arlington,2002,10,423,56866208,116000,2050,4.7,2002.75
Arlington,2002,11,368,47740480,116600,1999,4.6,2002.83333333333
Arlington,2002,12,391,49595229,117100,1976,4.6,2002.91666666667
Arlington,2003,1,335,42505826,114500,2155,5,2003
Arlington,2003,2,370,51593837,119500,2194,5,2003.08333333333
Arlington,2003,3,459,59668872,119900,2345,5.4,2003.16666666667
Arlington,2003,4,420,52103275,113800,2478,5.8,2003.25
Arlington,2003,5,502,67131982,118000,2544,5.9,2003.33333333333
Arlington,2003,6,495,68632935,122900,2731,6.3,2003.41666666667
Arlington,2003,7,524,73194692,123500,2799,6.5,2003.5
Arlington,2003,8,531,72397143,123900,2801,6.4,2003.58333333333
Arlington,2003,9,451,63432091,119200,2708,6.2,2003.66666666667
Arlington,2003,10,451,59867438,123400,2637,6,2003.75
Arlington,2003,11,362,51186383,123100,2539,5.8,2003.83333333333
Arlington,2003,12,405,55076568,120200,2426,5.5,2003.91666666667
Arlington,2004,1,288,36572326,114500,2638,6,2004
Arlington,2004,2,354,48048923,120400,2709,6.2,2004.08333333333
Arlington,2004,3,493,66902880,117000,2823,6.4,2004.16666666667
Arlington,2004,4,489,66665281,117100,2915,6.5,2004.25
