date,pce,pop,psavert,uempmed,unemploy
1973-07-01,854.1,211909,13.2,5.2,4305
1973-08-01,853.3,212092,13.9,4.9,4305
1973-09-01,869.2,212289,13.1,5.4,4350
1973-10-01,868.2,212475,14.4,5.5,4144
1973-11-01,876.9,212634,14.4,5.1,4396
1973-12-01,876.6,212785,14.8,4.7,4489
1974-01-01,884.5,212932,14.3,5,4644
1974-02-01,889.7,213074,14.2,5.1,4731
1974-03-01,901.4,213211,13.4,4.8,4634
1974-04-01,910.8,213361,13.1,5,4618
1974-05-01,922.4,213513,12.8,4.6,4705
1974-06-01,928,213686,12.8,5.3,4927
1974-07-01,937.9,213854,12.8,5.7,5063
1974-08-01,954.8,214042,12.1,5,5022
1974-09-01,955.1,214246,12.9,5.3,5437
1974-10-01,959.2,214451,13.4,5.5,5523
1974-11-01,956.2,214625,13.8,5.2,6140
1974-12-01,961.8,214782,14,5.7,6636
1975-01-01,975.6,214931,13.2,6.3,7501
1975-02-01,989.4,215065,12.5,7.1,7520
1975-03-01,990.6,215198,12.7,7.2,7978
1975-04-01,995,215353,14.2,8.7,8210
1975-05-01,1018.9,215523,17.3,9.4,8433
1975-06-01,1026.8,215768,14.3,8.8,8220
1975-07-01,1039.8,215973,12.6,8.6,8127
1975-08-01,1047,216195,13,9.2,7928
1975-09-01,1054.8,216393,13,9.2,7923
1975-10-01,1060.9,216587,13.4,8.6,7897
1975-11-01,1075.8,216771,12.7,9.5,7794
1975-12-01,1092.1,216931,12,9,7744
1976-01-01,1107.1,217095,11.7,9,7534
1976-02-01,1107.7,217249,12.3,8.2,7326
1976-03-01,1114.9,217381,12.2,8.7,7230
1976-04-01,1125.4,217528,11.7,8.2,7330
1976-05-01,1122.7,217685,12.3,8.3,7053
1976-06-01,1140.5,217861,11.4,7.8,7322
1976-07-01,1149.6,218035,11.7,7.7,7490
1976-08-01,1158,218233,11.7,7.9,7518
1976-09-01,1168.8,218440,11.4,7.8,7380
1976-10-01,1176.8,218644,11.1,7.7,7430
1976-11-01,1189,218834,11.4,8.4,7620
1976-12-01,1211.5,219006,10.6,8,7545
1977-01-01,1215,219179,10.6,7.5,7280
1977-02-01,1231.3,219344,9.3,7.2,7443
1977-03-01,1238.3,219504,10.5,7.2,7307
1977-04-01,1247.3,219684,10.5,7.3,7059
1977-05-01,1257.1,219859,10.3,7.9,6911
1977-06-01,1263.6,220046,10.6,6.2,7134
1977-07-01,1280.5,220239,10.5,7.1,6829
1977-08-01,1285.7,220458,10.9,7,6925
1977-09-01,1294.5,220688,11.1,6.7,6751
1977-10-01,1311.4,220904,11,6.9,6763
1977-11-01,1327,221109,11.2,7,6815
1977-12-01,1336,221303,11.4,6.8,6386
1978-01-01,1329.5,221477,11.9,6.5,6489
1978-02-01,1355.1,221629,11.1,6.7,6318
1978-03-01,1377.5,221792,11,6.2,6337
1978-04-01,1396.4,221991,10.8,6.1,6180
1978-05-01,1412,222176,10.3,5.7,6127
1978-06-01,1425.8,222379,10,6,6028
1978-07-01,1426.8,222585,10.9,5.8,6309
1978-08-01,1447,222805,10.5,5.8,6080
1978-09-01,1452.9,223053,10.6,5.6,6125
1978-10-01,1466.9,223271,10.7,5.9,5947
1978-11-01,1480.6,223477,10.5,5.5,6077
1978-12-01,1496.5,223670,10.4,5.6,6228
1979-01-01,1502.4,223865,11.1,5.9,6109
1979-02-01,1517.8,224053,11,5.9,6173
1979-03-01,1531.2,224235,11.2,5.9,6109
1979-04-01,1538.4,224438,11,5.4,6069
1979-05-01,1558.8,224632,10.3,5.6,5840
1979-06-01,1575.7,224843,9.8,5.6,5959
1979-07-01,1586.1,225055,10.6,5.9,5996
1979-08-01,1615.6,225295,9.7,4.8,6320
1979-09-01,1633.9,225547,9.4,5.5,6190
1979-10-01,1641.6,225801,9.7,5.5,6296
1979-11-01,1657.3,226027,9.7,5.3,6238
1979-12-01,1666.3,226243,10.1,5.7,6325
1980-01-01,1697.3,226451,9.9,5.3,6683
1980-02-01,1701.4,226656,10.1,5.8,6702
1980-03-01,1708.2,226849,10.3,6,6729
1980-04-01,1695.2,227061,11.4,5.8,7358
1980-05-01,1700.1,227251,11.5,5.7,7984
1980-06-01,1718.8,227522,11.3,6.4,8098
1980-07-01,1747.1,227726,11.4,7,8363
1980-08-01,1763.8,227953,11.4,7.5,8281
1980-09-01,1780.5,228186,11.7,7.7,8021
1980-10-01,1817.1,228417,11.3,7.5,8088
1980-11-01,1826.8,228612,11.6,7.7,8023
1980-12-01,1851.7,228779,11.4,7.5,7718
1981-01-01,1870,228937,10.9,7.4,8071
1981-02-01,1884.2,229071,10.8,7.1,8051
1981-03-01,1902.9,229224,10.8,7.1,7982
1981-04-01,1904.4,229403,10.8,7.4,7869
1981-05-01,1913.8,229575,10.9,6.9,8174
1981-06-01,1934.5,229761,10.8,6.6,8098
1981-07-01,1942.1,229966,12.3,7.1,7863
1981-08-01,1966.6,230187,12,7.2,8036
1981-09-01,1965.5,230412,12.3,6.8,8230
1981-10-01,1963.9,230641,12.9,6.8,8646
1981-11-01,1970.6,230822,13,6.9,9029
1981-12-01,1988.8,230989,12.4,6.9,9267
1982-01-01,1997.1,231157,12.6,7.1,9397
1982-02-01,2021.2,231313,12,7.5,9705
1982-03-01,2024.1,231470,12.1,7.7,9895
1982-04-01,2026.3,231645,12.8,8.1,10244
1982-05-01,2044.5,231809,12.2,8.5,10335
1982-06-01,2048.1,231992,12.2,9.5,10538
1982-07-01,2072.2,232188,12.5,8.5,10849
1982-08-01,2080.1,232392,12.5,8.7,10881
1982-09-01,2104.6,232599,11.7,9.5,11217
1982-10-01,2125.8,232816,11.2,9.7,11529
1982-11-01,2149.3,232993,10.9,10,11938
1982-12-01,2161.6,233160,10.9,10.2,12051
1983-01-01,2174,233322,11.1,11.1,11534
1983-02-01,2177,233473,11.2,9.8,11545
1983-03-01,2202.8,233613,10.7,10.4,11408
1983-04-01,2226.4,233781,10.3,10.9,11268
1983-05-01,2245.9,233922,9.9,12.3,11154
1983-06-01,2276,234118,9.2,11.3,11246
1983-07-01,2304.4,234307,9.7,10.1,10548
1983-08-01,2320.4,234501,9.2,9.3,10623
1983-09-01,2334.9,234701,9.6,9.3,10282
1983-10-01,2357.6,234907,9.7,9.4,9887
1983-11-01,2366.3,235078,10.3,9.3,9499
1983-12-01,2393.6,235235,10.1,8.7,9331
1984-01-01,2419.4,235385,9.9,9.1,9008
1984-02-01,2403.5,235527,11.6,8.3,8791
1984-03-01,2431.6,235675,11.4,8.3,8746
1984-04-01,2457.5,235839,11.4,8.2,8762
1984-05-01,2474.5,235993,11,9.1,8456
1984-06-01,2495.6,236160,11,7.5,8226
1984-07-01,2494.6,236348,11.4,7.5,8537
1984-08-01,2512.2,236549,11.7,7.3,8519
1984-09-01,2533.8,236760,11.7,7.6,8367
1984-10-01,2531.3,236976,11.6,7.2,8381
1984-11-01,2571.4,237159,10.7,7.2,8198
1984-12-01,2582.6,237316,11.1,7.3,8358
1985-01-01,2618.8,237468,10.2,6.8,8423
1985-02-01,2640.8,237602,8.9,7.1,8321
1985-03-01,2648.5,237732,8.6,7.1,8339
1985-04-01,2659.5,237900,9.8,6.9,8395
1985-05-01,2696.4,238074,11,6.9,8302
1985-06-01,2689.4,238270,9.6,6.6,8460
1985-07-01,2715.7,238466,9.1,6.9,8513
1985-08-01,2752.1,238679,8.1,7.1,8196
1985-09-01,2794.7,238898,7.3,6.9,8248
1985-10-01,2755.8,239113,9.1,7.1,8298
1985-11-01,2771.1,239307,9,7,8128
1985-12-01,2811.3,239477,8.6,6.8,8138
1986-01-01,2827.1,239638,8.7,6.7,7795
1986-02-01,2820.2,239788,9.3,6.9,8402
1986-03-01,2823.6,239928,9.9,6.8,8383
1986-04-01,2835.2,240094,9.7,6.7,8364
1986-05-01,2857.5,240271,9.3,6.8,8439
1986-06-01,2861.7,240459,9.4,7,8508
1986-07-01,2881.2,240651,9.3,6.9,8319
1986-08-01,2898.6,240854,8.9,7.1,8135
1986-09-01,2971.8,241068,7.1,7.4,8310
1986-10-01,2932.9,241274,8.3,7,8243
1986-11-01,2928.4,241467,8.6,7.1,8159
1986-12-01,2997.1,241620,6.8,7.1,7883
1987-01-01,2935.5,241784,9.4,6.9,7892
1987-02-01,3001.7,241930,8.2,6.6,7865
1987-03-01,3013.3,242079,8.1,6.6,7862
1987-04-01,3038.8,242252,4.1,7.1,7542
1987-05-01,3048.4,242423,7.8,6.6,7574
1987-06-01,3072.8,242608,7.3,6.5,7398
1987-07-01,3094.7,242804,7.1,6.5,7268
1987-08-01,3130.8,243012,6.8,6.4,7261
1987-09-01,3126.5,243223,7.2,6,7102
1987-10-01,3134.5,243446,7.9,6.3,7227
1987-11-01,3144.2,243639,8.2,6.2,7035
1987-12-01,3174.1,243809,8.4,6,6936
1988-01-01,3213.7,243981,7.9,6.2,6953
1988-02-01,3221.4,244131,8.4,6.3,6929
1988-03-01,3260.5,244279,8,6.4,6876
1988-04-01,3263,244445,8.7,5.9,6601
1988-05-01,3293.6,244610,8.3,5.9,6779
1988-06-01,3318.5,244806,8.4,5.8,6546
1988-07-01,3342.7,245021,8.6,6.1,6605
1988-08-01,3368,245240,8.4,5.9,6843
1988-09-01,3375,245464,8.8,5.7,6604
1988-10-01,3413.7,245693,8.6,5.6,6568
1988-11-01,3430.2,245884,8.4,5.7,6537
1988-12-01,3459.7,246056,8.3,5.9,6518
1989-01-01,3483.7,246224,8.5,5.6,6682
1989-02-01,3488,246378,8.9,5.4,6359
1989-03-01,3498.8,246530,9.4,5.4,6205
1989-04-01,3543,246721,8.3,5.4,6468
1989-05-01,3551.8,246906,8,5.3,6375
1989-06-01,3566.6,247114,8.1,5.4,6577
1989-07-01,3585.7,247342,8.1,5.6,6495
1989-08-01,3620.6,247573,7.5,5,6511
1989-09-01,3621.9,247816,7.9,4.9,6590
1989-10-01,3633.6,248067,8.4,4.9,6630
1989-11-01,3643.3,248281,8.5,4.8,6725
1989-12-01,3684.2,248479,7.7,4.9,6667
1990-01-01,3730.7,248659,7.9,5.1,6752
1990-02-01,3728.2,248827,8.5,5.3,6651
1990-03-01,3754.9,249012,8.3,5.1,6598
1990-04-01,3770,249306,8.7,4.8,6797
1990-05-01,3775.8,249565,8.7,5.2,6742
1990-06-01,3804.5,249849,8.6,5.2,6590
1990-07-01,3821.7,250132,8.7,5.4,6922
1990-08-01,3848.3,250439,8.1,5.4,7188
1990-09-01,3870.1,250751,8.1,5.6,7368
1990-10-01,3870.6,251057,7.9,5.8,7459
1990-11-01,3871.9,251346,8,5.7,7764
1990-12-01,3861.3,251626,8.8,5.9,7901
1991-01-01,3841,251889,9.4,6,8015
1991-02-01,3866.7,252135,9,6.2,8265
1991-03-01,3913,252372,8.1,6.7,8586
1991-04-01,3907.1,252643,8.7,6.6,8439
1991-05-01,3933.2,252913,8.5,6.4,8736
1991-06-01,3940.5,253207,9,6.9,8692
1991-07-01,3966,253493,8.4,7,8586
1991-08-01,3969.1,253807,8.7,7.3,8666
1991-09-01,3984.7,254126,8.9,6.8,8722
1991-10-01,3976,254435,9.4,7.2,8842
1991-11-01,4003.6,254718,9.1,7.5,8931
1991-12-01,4020.5,254964,9.8,7.8,9198
1992-01-01,4084.7,255214,9.5,8.1,9283
1992-02-01,4099.5,255448,9.8,8.2,9454
1992-03-01,4117,255703,9.7,8.3,9460
1992-04-01,4131.5,255992,9.8,8.5,9415
1992-05-01,4158.4,256285,9.8,8.8,9744
1992-06-01,4177.1,256589,10,8.7,10040
1992-07-01,4204.8,256894,9.5,8.6,9850
1992-08-01,4220.9,257232,9.6,8.8,9787
1992-09-01,4255.3,257548,8.6,8.6,9781
1992-10-01,4284.7,257861,7.9,9,9398
1992-11-01,4300.5,258147,7.9,9,9565
1992-12-01,4336.4,258413,10.5,9.3,9557
1993-01-01,4340.7,258679,8.5,8.6,9325
1993-02-01,4355.3,258919,8.8,8.5,9183
1993-03-01,4352.5,259152,8.8,8.5,9056
1993-04-01,4393.4,259414,8.7,8.4,9110
1993-05-01,4422.4,259680,8.2,8.1,9149
1993-06-01,4440,259963,7.7,8.3,9121
1993-07-01,4468.9,260255,7.5,8.2,8930
1993-08-01,4481.1,260566,7.6,8.2,8763
1993-09-01,4511.5,260867,6.8,8.3,8714
1993-10-01,4532.8,261163,6.2,8,8750
1993-11-01,4554.1,261425,6.2,8.3,8542
1993-12-01,4571.1,261674,9,8.3,8477
1994-01-01,4585.1,261919,7,8.6,8630
1994-02-01,4632.6,262123,6.4,9.2,8583
1994-03-01,4646,262352,6.7,9.3,8470
1994-04-01,4671.1,262631,6.3,9.1,8331
1994-05-01,4669.5,262877,7.5,9.2,7915
1994-06-01,4708.9,263152,6.8,9.3,7927
1994-07-01,4720.6,263436,6.9,9,7946
1994-08-01,4762.6,263724,6.4,8.9,7933
1994-09-01,4775,264017,6.7,9.2,7734
1994-10-01,4812.9,264301,7,10,7632
1994-11-01,4825.6,264559,6.9,9,7375
1994-12-01,4841.6,264804,7,8.7,7230
1995-01-01,4851.2,265044,7.3,8,7375
1995-02-01,4850.8,265270,7.7,8.1,7187
1995-03-01,4885.4,265495,7.4,8.3,7153
1995-04-01,4890.2,265755,6.8,8.3,7645
1995-05-01,4933.1,265998,7,9.1,7430
1995-06-01,4977.5,266270,6.5,7.9,7427
1995-07-01,4970.2,266557,6.9,8.5,7527
1995-08-01,5005.3,266843,6.6,8.3,7484
1995-09-01,5020.5,267152,6.6,7.9,7478
1995-10-01,5013.9,267456,7,8.2,7328
1995-11-01,5055.6,267715,6.4,8,7426
1995-12-01,5097.5,267943,6,8.3,7423
1996-01-01,5085.7,268151,6.5,8.3,7491
1996-02-01,5132.8,268364,6.6,7.8,7313
1996-03-01,5173.3,268595,6.4,8.3,7318
1996-04-01,5208,268853,5.5,8.6,7415
1996-05-01,5223.8,269108,6.5,8.6,7423
1996-06-01,5229.8,269386,6.9,8.3,7095
1996-07-01,5251.9,269667,6.5,8.3,7337
1996-08-01,5275,269976,6.4,8.4,6882
1996-09-01,5296.6,270284,6.4,8.5,6979
1996-10-01,5328.5,270581,6.1,8.3,7031
1996-11-01,5351.2,270878,6.2,7.7,7236
1996-12-01,5378.6,271125,6.1,7.8,7253
1997-01-01,5411.1,271360,5.9,7.8,7158
1997-02-01,5434,271585,6,8.1,7102
1997-03-01,5454.2,271821,6.1,7.9,7000
1997-04-01,5459.3,272083,6.2,8.3,6873
1997-05-01,5460.2,272342,6.5,8,6655
1997-06-01,5494.2,272622,6.3,8,6799
1997-07-01,5548.8,272912,5.8,8.3,6655
1997-08-01,5587,273237,5.7,7.8,6608
1997-09-01,5601.7,273553,5.9,8.2,6656
1997-10-01,5637.7,273852,5.9,7.7,6454
1997-11-01,5661.1,274126,6.1,7.6,6308
1997-12-01,5692.1,274372,6.1,7.5,6476
1998-01-01,5689.9,274626,7,7.4,6368
1998-02-01,5723.8,274838,7,7,6306
1998-03-01,5750.3,275047,7.1,6.8,6422
1998-04-01,5788.1,275304,6.9,6.7,5941
1998-05-01,5837.9,275564,6.6,6,6047
1998-06-01,5871.7,275836,6.5,6.9,6212
1998-07-01,5890,276115,6.6,6.7,6259
1998-08-01,5925,276418,6.5,6.8,6179
1998-09-01,5965.6,276714,6.1,6.7,6300
1998-10-01,5998.8,277003,5.9,5.8,6280
1998-11-01,6015.4,277277,6,6.6,6100
1998-12-01,6070.5,277526,5.5,6.8,6032
1999-01-01,6073.9,277790,6.1,6.9,5976
1999-02-01,6099.2,277992,6,6.8,6111
1999-03-01,6133,278198,5.6,6.8,5783
1999-04-01,6199.5,278451,4.7,6.2,6004
1999-05-01,6232.1,278717,4.4,6.5,5796
1999-06-01,6260.3,279001,4.3,6.3,5951
1999-07-01,6287.6,279295,4.4,5.8,6025
1999-08-01,6331.9,279602,4.3,6.5,5838
1999-09-01,6386.5,279903,3.7,6,5915
1999-10-01,6411.4,280203,4,6.1,5778
1999-11-01,6448.7,280471,4.1,6.2,5716
1999-12-01,6541,280716,3.7,5.8,5653
2000-01-01,6542.9,280976,4.5,5.8,5708
2000-02-01,6625.3,281190,4,6.1,5858
2000-03-01,6686.5,281409,3.8,6,5733
2000-04-01,6679.1,281653,4.3,6.1,5481
2000-05-01,6709.7,281877,4.3,5.8,5758
2000-06-01,6746.9,282126,4.3,5.7,5651
2000-07-01,6768.5,282385,4.7,6,5747
2000-08-01,6802.8,282653,4.8,6.3,5853
2000-09-01,6888.6,282932,4.1,5.2,5625
2000-10-01,6893.8,283201,4.3,6.1,5534
2000-11-01,6909.8,283453,4.3,6.1,5639
2000-12-01,6952.2,283696,4.1,6,5634
2001-01-01,6987.4,283920,4.5,5.8,6023
2001-02-01,7001.8,284137,4.6,6.1,6089
2001-03-01,6996.7,284350,4.9,6.6,6141
2001-04-01,7004.2,284581,4.8,5.9,6271
2001-05-01,7052.8,284810,4.3,6.3,6226
2001-06-01,7069.7,285062,4.2,6,6484
2001-07-01,7082.3,285309,5.4,6.8,6583
2001-08-01,7121.7,285570,6.5,6.9,7042
2001-09-01,7007,285843,6.9,7.2,7142
2001-10-01,7212.9,286098,2.9,7.3,7694
2001-11-01,7182.3,286341,3.4,7.7,8003
2001-12-01,7166.7,286570,3.7,8.2,8258
2002-01-01,7184.6,286788,5.6,8.4,8182
2002-02-01,7225.2,286994,5.4,8.3,8215
2002-03-01,7243.4,287190,5.5,8.4,8304
2002-04-01,7312.5,287397,5.4,8.9,8599
2002-05-01,7288.9,287623,6.1,9.5,8399
2002-06-01,7322.5,287864,6.1,11,8393
2002-07-01,7387.3,288105,5.3,8.9,8390
2002-08-01,7412.6,288360,5.2,9,8304
2002-09-01,7391.5,288618,5.8,9.5,8251
2002-10-01,7435.2,288870,5.6,9.6,8307
2002-11-01,7463.8,289106,5.6,9.3,8520
2002-12-01,7519.9,289313,5.3,9.6,8640
2003-01-01,7541.3,289518,5.3,9.6,8520
2003-02-01,7548.6,289714,5.2,9.5,8618
2003-03-01,7611.5,289911,4.9,9.7,8588
2003-04-01,7634.5,290125,5,10.2,8842
2003-05-01,7650.3,290346,5.3,9.9,8957
2003-06-01,7699.6,290584,5.1,11.5,9266
2003-07-01,7757,290820,5.9,10.3,9011
2003-08-01,7852.1,291072,5.7,10.1,8896
2003-09-01,7853.7,291321,4.9,10.2,8921
2003-10-01,7867.4,291574,5,10.4,8732
2003-11-01,7922.6,291807,5,10.3,8576
2003-12-01,7950.4,292008,5,10.4,8317
2004-01-01,8007.1,292192,4.6,10.6,8370
2004-02-01,8040.4,292368,4.6,10.2,8167
2004-03-01,8098.8,292561,4.5,10.2,8491
2004-04-01,8107.2,292779,4.9,9.5,8170
2004-05-01,8176.5,292997,4.8,9.9,8212
2004-06-01,8157.6,293223,5.4,11,8286
2004-07-01,8236.9,293463,4.7,8.9,8136
2004-08-01,8271.6,293719,4.7,9.2,7990
2004-09-01,8341.5,293971,4.1,9.6,7927
2004-10-01,8397.1,294230,3.9,9.5,8061
2004-11-01,8444.5,294466,3.4,9.7,7932
2004-12-01,8504.4,294694,6.2,9.5,7934
2005-01-01,8497.7,294914,2.7,9.4,7784
2005-02-01,8559.1,295105,2.3,9.2,7980
2005-03-01,8598.4,295287,2.5,9.3,7737
2005-04-01,8678.4,295490,2.1,9,7672
2005-05-01,8671.6,295704,2.6,9.1,7651
2005-06-01,8753.4,295936,2,9,7524
2005-07-01,8853.8,296186,1.4,8.8,7406
2005-08-01,8850.1,296440,2,9.2,7345
2005-09-01,8900.4,296707,2,8.4,7553
2005-10-01,8938.5,296972,2.3,8.6,7453
2005-11-01,8946.2,297207,2.6,8.5,7566
2005-12-01,8981.1,297431,2.5,8.7,7279
2006-01-01,9071.6,297647,3,8.6,7064
2006-02-01,9096,297854,3.2,9.1,7184
2006-03-01,9132.9,298060,3.3,8.7,7072
2006-04-01,9191.6,298281,3.1,8.4,7120
2006-05-01,9231.8,298496,2.9,8.5,6980
2006-06-01,9259.6,298739,2.9,7.3,7001
2006-07-01,9343.8,298996,2.3,8,7175
2006-08-01,9342.2,299263,2.5,8.4,7091
2006-09-01,9375.4,299554,2.4,8,6847
2006-10-01,9393.6,299835,2.4,7.9,6727
2006-11-01,9400.2,300094,2.7,8.3,6872
2006-12-01,9488.3,300340,2.6,7.5,6762
2007-01-01,9538.7,300574,2.4,8.3,7116
2007-02-01,9566,300802,2.8,8.5,6927
2007-03-01,9611.7,301021,3,9.1,6731
2007-04-01,9643.6,301254,3,8.6,6850
2007-05-01,9685.8,301483,2.8,8.2,6766
2007-06-01,9706.8,301739,2.7,7.7,6979
2007-07-01,9751.1,302004,2.6,8.7,7149
2007-08-01,9798.9,302267,2.2,8.8,7067
2007-09-01,9845.1,302546,2.3,8.7,7170
2007-10-01,9882.7,302807,2.2,8.4,7237
2007-11-01,9955.9,303054,1.9,8.6,7240
2007-12-01,9972.8,303287,2.4,8.4,7645
2008-01-01,9996.4,303506,2.6,9,7685
2008-02-01,9981.7,303711,3,8.7,7497
2008-03-01,10035.3,303907,2.9,8.7,7822
2008-04-01,10070.3,304117,2.4,9.4,7637
2008-05-01,10132.3,304323,6.8,7.9,8395
2008-06-01,10187.1,304556,4.6,9,8575
2008-07-01,10185.1,304798,3.6,9.7,8937
2008-08-01,10175.7,305045,3.1,9.7,9438
2008-09-01,10116.4,305309,3.9,10.2,9494
2008-10-01,10034.1,305554,4.9,10.4,10074
2008-11-01,9885.2,305786,6,9.8,10538
2008-12-01,9801.5,306004,5.8,10.5,11286
2009-01-01,9847.2,306208,5.9,10.7,12058
2009-02-01,9824.5,306402,5.4,11.7,12898
2009-03-01,9773.2,306588,5.8,12.3,13426
2009-04-01,9772.5,306787,6.5,13.1,13853
2009-05-01,9791.6,306984,7.8,14.2,14499
2009-06-01,9852.4,307206,6.1,17.2,14707
2009-07-01,9886.3,307439,5.4,16,14601
2009-08-01,10004.1,307685,4.4,16.3,14814
2009-09-01,9927.8,307946,5.5,17.8,15009
2009-10-01,9976.7,308189,5.1,18.9,15352
2009-11-01,9985.7,308418,5.5,19.8,15219
2009-12-01,10052.6,308633,5.4,20.1,15098
2010-01-01,10056.1,308833,5.6,20,15046
2010-02-01,10093.4,309027,5.3,19.9,15113
2010-03-01,10156,309212,5.3,20.4,15202
2010-04-01,10182.3,309191.211,6,22.1,15325
2010-05-01,10210.8,309367.58,6.4,22.3,14849
2010-06-01,10231.3,309545.555,6.2,25.2,14474
2010-07-01,10268.1,309741.279,6.1,22.3,14512
2010-08-01,10307.1,309951.795,6.2,21,14648
2010-09-01,10327.1,310168.926,6.1,20.3,14579
2010-10-01,10386.4,310390.859,5.9,21.2,14516
2010-11-01,10433.6,310585.106,5.8,21,15081
2010-12-01,10471,310769.486,6.2,21.9,14348
2011-01-01,10514.3,310946.962,6.6,21.5,14013
2011-02-01,10540.6,311098.039,6.9,21.1,13820
2011-03-01,10619.7,311248.506,6.3,21.5,13737
2011-04-01,10652.1,311417.782,6.3,20.9,13957
2011-05-01,10672.2,311587.063,6.3,21.6,13855
2011-06-01,10694.8,311769.648,6.5,22.4,13962
2011-07-01,10731.6,311973.914,6.7,22,13763
2011-08-01,10750.3,312180.558,6.7,22.4,13818
2011-09-01,10783.2,312402.633,6.4,22,13948
2011-10-01,10802.9,312616.001,6.3,20.6,13594
2011-11-01,10806.8,312799.689,6.4,20.8,13302
2011-12-01,10817.8,312978.205,7.2,20.5,13093
2012-01-01,10896.8,313149.997,7.4,20.8,12797
2012-02-01,10987.2,313304.12,7.3,19.7,12813
2012-03-01,10993.9,313462.838,7.6,19.2,12713
2012-04-01,11018.5,313628.923,7.9,19.1,12646
2012-05-01,11006.8,313790.652,7.9,19.9,12660
2012-06-01,10989.8,313976.041,7.9,20.4,12692
2012-07-01,11016.8,314167.558,7,17.5,12656
2012-08-01,11056,314377.381,6.7,18.4,12471
2012-09-01,11105.3,314600.057,7.2,18.8,12115
2012-10-01,11137.4,314805.556,7.8,19.9,12124
2012-11-01,11178.4,315003.708,8.7,18.6,12005
2012-12-01,11181.2,315180.866,10.9,17.7,12298
2013-01-01,11252.4,315335.976,4.9,15.8,12471
2013-02-01,11290.5,315464.793,4.7,17.2,11950
2013-03-01,11290.1,315605.141,4.8,17.6,11689
