DATE,POP
1968-05-01,200361
1968-06-01,200536
1968-07-01,200706
1968-08-01,200898
1968-09-01,201095
1968-10-01,201290
1968-11-01,201466
1968-12-01,201621
1969-01-01,201760
1969-02-01,201881
1969-03-01,202023
1969-04-01,202161
1969-05-01,202331
1969-06-01,202507
1969-07-01,202677
1969-08-01,202877
1969-09-01,203090
1969-10-01,203302
1969-11-01,203500
1969-12-01,203675
1970-01-01,203849
1970-02-01,204008
1970-03-01,204156
1970-04-01,204401
1970-05-01,204607
1970-06-01,204830
1970-07-01,205052
1970-08-01,205295
1970-09-01,205540
1970-10-01,205788
1970-11-01,206024
1970-12-01,206238
1971-01-01,206466
1971-02-01,206668
1971-03-01,206855
1971-04-01,207065
1971-05-01,207260
1971-06-01,207462
1971-07-01,207661
1971-08-01,207881
1971-09-01,208114
1971-10-01,208345
1971-11-01,208555
1971-12-01,208740
1972-01-01,208917
1972-02-01,209061
1972-03-01,209212
1972-04-01,209386
1972-05-01,209545
1972-06-01,209725
1972-07-01,209896
1972-08-01,210075
1972-09-01,210278
1972-10-01,210479
1972-11-01,210656
1972-12-01,210821
1973-01-01,210985
1973-02-01,211120
1973-03-01,211254
1973-04-01,211420
1973-05-01,211577
1973-06-01,211746
1973-07-01,211909
1973-08-01,212092
1973-09-01,212289
1973-10-01,212475
1973-11-01,212634
1973-12-01,212785
1974-01-01,212932
1974-02-01,213074
1974-03-01,213211
1974-04-01,213361
1974-05-01,213513
1974-06-01,213686
1974-07-01,213854
1974-08-01,214042
1974-09-01,214246
1974-10-01,214451
1974-11-01,214625
1974-12-01,214782
1975-01-01,214931
1975-02-01,215065
1975-03-01,215198
1975-04-01,215353
1975-05-01,215523
1975-06-01,215768
1975-07-01,215973
1975-08-01,216195
1975-09-01,216393
1975-10-01,216587
1975-11-01,216771
1975-12-01,216931
1976-01-01,217095
1976-02-01,217249
1976-03-01,217381
1976-04-01,217528
1976-05-01,217685
1976-06-01,217861
1976-07-01,218035
1976-08-01,218233
1976-09-01,218440
1976-10-01,218644
1976-11-01,218834
1976-12-01,219006
1977-01-01,219179
1977-02-01,219344
1977-03-01,219504
1977-04-01,219684
1977-05-01,219859
1977-06-01,220046
1977-07-01,220239
1977-08-01,220458
1977-09-01,220688
1977-10-01,220904
1977-11-01,221109
1977-12-01,221303
1978-01-01,221477
1978-02-01,221629
1978-03-01,221792
1978-04-01,221991
1978-05-01,222176
1978-06-01,222379
1978-07-01,222585
1978-08-01,222805
1978-09-01,223053
1978-10-01,223271
1978-11-01,223477
1978-12-01,223670
1979-01-01,223865
1979-02-01,224053
1979-03-01,224235
1979-04-01,224438
1979-05-01,224632
1979-06-01,224843
1979-07-01,225055
1979-08-01,225295
1979-09-01,225547
1979-10-01,225801
1979-11-01,226027
1979-12-01,226243
1980-01-01,226451
1980-02-01,226656
1980-03-01,226849
1980-04-01,227061
1980-05-01,227251
1980-06-01,227522
1980-07-01,227726
1980-08-01,227953
1980-09-01,228186
1980-10-01,228417
1980-11-01,228612
1980-12-01,228779
1981-01-01,228937
1981-02-01,229071
1981-03-01,229224
1981-04-01,229403
1981-05-01,229575
1981-06-01,229761
1981-07-01,229966
1981-08-01,230187
1981-09-01,230412
1981-10-01,230641
1981-11-01,230822
1981-12-01,230989
1982-01-01,231157
1982-02-01,231313
1982-03-01,231470
1982-04-01,231645
1982-05-01,231809
1982-06-01,231992
1982-07-01,232188
1982-08-01,232392
1982-09-01,232599
1982-10-01,232816
1982-11-01,232993
1982-12-01,233160
1983-01-01,233322
1983-02-01,233473
1983-03-01,233613
1983-04-01,233781
1983-05-01,233922
1983-06-01,234118
1983-07-01,234307
1983-08-01,234501
1983-09-01,234701
1983-10-01,234907
1983-11-01,235078
1983-12-01,235235
1984-01-01,235385
1984-02-01,235527
1984-03-01,235675
1984-04-01,235839
1984-05-01,235993
1984-06-01,236160
1984-07-01,236348
1984-08-01,236549
1984-09-01,236760
1984-10-01,236976
1984-11-01,237159
1984-12-01,237316
1985-01-01,237468
1985-02-01,237602
1985-03-01,237732
1985-04-01,237900
1985-05-01,238074
1985-06-01,238270
1985-07-01,238466
1985-08-01,238679
1985-09-01,238898
1985-10-01,239113
1985-11-01,239307
1985-12-01,239477
1986-01-01,239638
1986-02-01,239788
1986-03-01,239928
1986-04-01,240094
1986-05-01,240271
1986-06-01,240459
1986-07-01,240651
1986-08-01,240854
1986-09-01,241068
1986-10-01,241274
1986-11-01,241467
1986-12-01,241620
1987-01-01,241784
1987-02-01,241930
1987-03-01,242079
1987-04-01,242252
1987-05-01,242423
1987-06-01,242608
1987-07-01,242804
1987-08-01,243012
1987-09-01,243223
1987-10-01,243446
1987-11-01,243639
1987-12-01,243809
1988-01-01,243981
1988-02-01,244131
1988-03-01,244279
1988-04-01,244445
1988-05-01,244610
1988-06-01,244806
1988-07-01,245021
1988-08-01,245240
1988-09-01,245464
1988-10-01,245693
1988-11-01,245884
1988-12-01,246056
1989-01-01,246224
1989-02-01,246378
1989-03-01,246530
1989-04-01,246721
1989-05-01,246906
1989-06-01,247114
1989-07-01,247342
1989-08-01,247573
1989-09-01,247816
1989-10-01,248067
1989-11-01,248281
1989-12-01,248479
1990-01-01,248659
1990-02-01,248827
1990-03-01,249012
1990-04-01,249306
1990-05-01,249565
1990-06-01,249849
1990-07-01,250132
1990-08-01,250439
1990-09-01,250751
1990-10-01,251057
1990-11-01,251346
1990-12-01,251626
1991-01-01,251889
1991-02-01,252135
1991-03-01,252372
1991-04-01,252643
1991-05-01,252913
1991-06-01,253207
1991-07-01,253493
1991-08-01,253807
1991-09-01,254126
1991-10-01,254435
1991-11-01,254718
1991-12-01,254964
1992-01-01,255214
1992-02-01,255448
1992-03-01,255703
1992-04-01,255992
1992-05-01,256285
1992-06-01,256589
1992-07-01,256894
1992-08-01,257232
1992-09-01,257548
1992-10-01,257861
1992-11-01,258147
1992-12-01,258413
1993-01-01,258679
1993-02-01,258919
1993-03-01,259152
1993-04-01,259414
1993-05-01,259680
1993-06-01,259963
1993-07-01,260255
1993-08-01,260566
1993-09-01,260867
1993-10-01,261163
1993-11-01,261425
1993-12-01,261674
1994-01-01,261919
1994-02-01,262123
1994-03-01,262352
1994-04-01,262631
1994-05-01,262877
1994-06-01,263152
1994-07-01,263436
1994-08-01,263724
1994-09-01,264017
1994-10-01,264301
1994-11-01,264559
1994-12-01,264804
1995-01-01,265044
1995-02-01,265270
1995-03-01,265495
1995-04-01,265755
1995-05-01,265998
1995-06-01,266270
1995-07-01,266557
1995-08-01,266843
1995-09-01,267152
1995-10-01,267456
1995-11-01,267715
1995-12-01,267943
1996-01-01,268151
1996-02-01,268364
1996-03-01,268595
1996-04-01,268853
1996-05-01,269108
1996-06-01,269386
1996-07-01,269667
1996-08-01,269976
1996-09-01,270284
1996-10-01,270581
1996-11-01,270878
1996-12-01,271125
1997-01-01,271360
1997-02-01,271585
1997-03-01,271821
1997-04-01,272083
1997-05-01,272342
1997-06-01,272622
1997-07-01,272912
1997-08-01,273237
1997-09-01,273553
1997-10-01,273852
1997-11-01,274126
1997-12-01,274372
1998-01-01,274626
1998-02-01,274838
1998-03-01,275047
1998-04-01,275304
1998-05-01,275564
1998-06-01,275836
1998-07-01,276115
1998-08-01,276418
1998-09-01,276714
1998-10-01,277003
1998-11-01,277277
1998-12-01,277526
1999-01-01,277790
1999-02-01,277992
1999-03-01,278198
1999-04-01,278451
1999-05-01,278717
1999-06-01,279001
1999-07-01,279295
1999-08-01,279602
1999-09-01,279903
1999-10-01,280203
1999-11-01,280471
1999-12-01,280716
2000-01-01,280976
2000-02-01,281190
2000-03-01,281409
2000-04-01,281653
2000-05-01,281877
2000-06-01,282126
2000-07-01,282385
2000-08-01,282653
2000-09-01,282932
2000-10-01,283201
2000-11-01,283453
2000-12-01,283696
2001-01-01,283920
2001-02-01,284137
2001-03-01,284350
2001-04-01,284581
2001-05-01,284810
2001-06-01,285062
2001-07-01,285309
2001-08-01,285570
2001-09-01,285843
2001-10-01,286098
2001-11-01,286341
2001-12-01,286570
2002-01-01,286788
2002-02-01,286994
2002-03-01,287190
2002-04-01,287397
2002-05-01,287623
2002-06-01,287864
2002-07-01,288105
2002-08-01,288360
2002-09-01,288618
2002-10-01,288870
2002-11-01,289106
2002-12-01,289313
2003-01-01,289518
2003-02-01,289714
2003-03-01,289911
2003-04-01,290125
2003-05-01,290346
2003-06-01,290584
2003-07-01,290820
2003-08-01,291072
2003-09-01,291321
2003-10-01,291574
2003-11-01,291807
2003-12-01,292008
2004-01-01,292192
2004-02-01,292368
2004-03-01,292561
2004-04-01,292779
2004-05-01,292997
2004-06-01,293223
2004-07-01,293463
2004-08-01,293719
2004-09-01,293971
2004-10-01,294230
2004-11-01,294466
2004-12-01,294694
2005-01-01,294914
2005-02-01,295105
2005-03-01,295287
2005-04-01,295490
2005-05-01,295704
2005-06-01,295936
2005-07-01,296186
2005-08-01,296440
2005-09-01,296707
2005-10-01,296972
2005-11-01,297207
2005-12-01,297431
2006-01-01,297647
2006-02-01,297854
2006-03-01,298060
2006-04-01,298281
2006-05-01,298496
2006-06-01,298739
2006-07-01,298996
2006-08-01,299263
2006-09-01,299554
2006-10-01,299835
2006-11-01,300094
2006-12-01,300340
2007-01-01,300574
2007-02-01,300802
2007-03-01,301021
2007-04-01,301254
2007-05-01,301483
2007-06-01,301739
2007-07-01,302004
2007-08-01,302267
2007-09-01,302546
2007-10-01,302807
2007-11-01,303054
2007-12-01,303287
2008-01-01,303506
2008-02-01,303711
2008-03-01,303907
2008-04-01,304117
2008-05-01,304323
2008-06-01,304556
2008-07-01,304798
2008-08-01,305045
2008-09-01,305309
2008-10-01,305554
2008-11-01,305786
2008-12-01,306004
2009-01-01,306208
2009-02-01,306402
2009-03-01,306588
2009-04-01,306787
2009-05-01,306984
2009-06-01,307206
2009-07-01,307439
2009-08-01,307685
2009-09-01,307946
2009-10-01,308189
2009-11-01,308418
2009-12-01,308633
2010-01-01,308833
2010-02-01,309027
2010-03-01,309212
2010-04-01,309191.211
2010-05-01,309367.58
2010-06-01,309545.555
2010-07-01,309741.279
2010-08-01,309951.795
2010-09-01,310168.926
2010-10-01,310390.859
2010-11-01,310585.106
2010-12-01,310769.486
2011-01-01,310946.962
2011-02-01,311098.039
2011-03-01,311248.506
2011-04-01,311417.782
2011-05-01,311587.063
2011-06-01,311769.648
2011-07-01,311973.914
2011-08-01,312180.558
2011-09-01,312402.633
2011-10-01,312616.001
2011-11-01,312799.689
2011-12-01,312978.205
2012-01-01,313149.997
2012-02-01,313304.12
2012-03-01,313462.838
2012-04-01,313628.923
2012-05-01,313790.652
2012-06-01,313976.041
2012-07-01,314167.558
2012-08-01,314377.381
2012-09-01,314600.057
2012-10-01,314805.556
2012-11-01,315003.708
2012-12-01,315180.866
2013-01-01,315335.976
2013-02-01,315464.793
2013-03-01,315605.141
2013-04-01,315759.039
2013-05-01,315923.105
2013-06-01,316108.76
2013-07-01,316294.766
2013-08-01,316514.531
2013-09-01,316738.543
2013-10-01,316952.905
2013-11-01,317156.876
2013-12-01,317338.617
2014-01-01,317519.206
2014-02-01,317677.384
2014-03-01,317838.92
2014-04-01,318009.154
2014-05-01,318187.658
2014-06-01,318380.521
2014-07-01,318576.955
2014-08-01,318806.531
2014-09-01,319036.2
2014-10-01,319262.799
2014-11-01,319471.435
2014-12-01,319651.541
2015-01-01,319832.19
2015-02-01,319976.213
2015-03-01,320130.646
2015-04-01,320300.314
2015-05-01,320480.147
2015-06-01,320667.889
2015-07-01,320870.703
2015-08-01,321093.062
2015-09-01,321316.348
2015-10-01,321539.88
2015-11-01,321741.248
2015-12-01,321926.178
2016-01-01,322114.094
2016-02-01,322277.451
2016-03-01,322428.943
2016-04-01,322596.809
2016-05-01,322773.714
2016-06-01,322960.309
2016-07-01,323161.011
2016-08-01,323369.427
2016-09-01,323576.012
2016-10-01,323783.987
2016-11-01,323968.882
2016-12-01,324135.365
2017-01-01,324296.746
2017-02-01,324427.384
2017-03-01,324559.999
2017-04-01,324704.641
2017-05-01,324861.316
2017-06-01,325027.016
2017-07-01,325206.03
2017-08-01,325386.457
2017-09-01,325565.293
2017-10-01,325741.643
2017-11-01,325898.856
2017-12-01,326036.736
2018-01-01,326163.263
2018-02-01,326268.894
2018-03-01,326377.173
2018-04-01,326496.848
2018-05-01,326628.822
2018-06-01,326769.726
2018-07-01,326923.976
2018-08-01,327086.833
2018-09-01,327248.127
2018-10-01,327407.004
2018-11-01,327546.8
2018-12-01,327667.595
2019-01-01,327776.541
2019-02-01,327871.957
2019-03-01,327970.02
2019-04-01,328079.473
2019-05-01,328201.245
2019-06-01,328331.949
2019-07-01,328475.998
2019-08-01,328646.02
2019-09-01,328814.479
2019-10-01,328980.52
2019-11-01,329127.484
2019-12-01,329255.444
2020-01-01,329371.559
2020-02-01,329474.136
2020-03-01,329579.358
2020-04-01,331711.753
2020-05-01,331686.795
2020-06-01,331714.569
2020-07-01,331773.226
2020-08-01,331848.069
2020-09-01,331922.575
2020-10-01,332009.201
2020-11-01,332072.46
2020-12-01,332084.586
2021-01-01,332039.558
2021-02-01,331975.432
2021-03-01,331991.389
2021-04-01,332055.217
2021-05-01,332123.519
2021-06-01,332198.249
2021-07-01,332298.819
2021-08-01,332450.856
2021-09-01,332561.116
2021-10-01,332658.307
2021-11-01,332757.379
2021-12-01,332853.874
2022-01-01,332928.956
2022-02-01,332937.514
2022-03-01,333006.084
2022-04-01,333128.441
2022-05-01,333254.05
2022-06-01,333380.336
2022-07-01,333521.104
2022-08-01,333676.165
2022-09-01,333847.542
2022-10-01,334003.265
2022-11-01,334139.362
2022-12-01,334272.537
2023-01-01,334380.31
2023-02-01,334485.366
2023-03-01,334601.838
2023-04-01,334726.454
2023-05-01,334858.431
2023-06-01,334999.421
2023-07-01,335160.938
2023-08-01,335335.663
2023-09-01,335526.109
2023-10-01,335697.18
2023-11-01,335848.798
2023-12-01,336000.763
2024-01-01,336139.132
2024-02-01,336249.709
2024-03-01,336361.391
2024-04-01,336484.613
2024-05-01,336616.141
2024-06-01,336758.52
2024-07-01,336919.638
2024-08-01,337091.169
2024-09-01,337278.455
2024-10-01,337446.361
2024-11-01,337594.785
2024-12-01,337743.61
