DATE,PCE
1980-07-01,1747.1
1980-08-01,1763.8
1980-09-01,1780.5
1980-10-01,1817.1
1980-11-01,1826.8
1980-12-01,1851.7
1981-01-01,1870.0
1981-02-01,1884.2
1981-03-01,1902.9
1981-04-01,1904.4
1981-05-01,1913.8
1981-06-01,1934.5
1981-07-01,1942.1
1981-08-01,1966.6
1981-09-01,1965.5
1981-10-01,1963.9
1981-11-01,1970.6
1981-12-01,1988.8
1982-01-01,1997.1
1982-02-01,2021.2
1982-03-01,2024.1
1982-04-01,2026.3
1982-05-01,2044.5
1982-06-01,2048.1
1982-07-01,2072.2
1982-08-01,2080.1
1982-09-01,2104.6
1982-10-01,2125.8
1982-11-01,2149.3
1982-12-01,2161.6
1983-01-01,2174.0
1983-02-01,2177.0
1983-03-01,2202.8
1983-04-01,2226.4
1983-05-01,2245.9
1983-06-01,2276.0
1983-07-01,2304.4
1983-08-01,2320.4
1983-09-01,2334.9
1983-10-01,2357.6
1983-11-01,2366.3
1983-12-01,2393.6
1984-01-01,2419.4
1984-02-01,2403.5
1984-03-01,2431.6
1984-04-01,2457.5
1984-05-01,2474.5
1984-06-01,2495.6
1984-07-01,2494.6
1984-08-01,2512.2
1984-09-01,2533.8
1984-10-01,2531.3
1984-11-01,2571.4
1984-12-01,2582.6
1985-01-01,2618.8
1985-02-01,2640.8
1985-03-01,2648.5
1985-04-01,2659.5
1985-05-01,2696.4
1985-06-01,2689.4
1985-07-01,2715.7
1985-08-01,2752.1
1985-09-01,2794.7
1985-10-01,2755.8
1985-11-01,2771.1
1985-12-01,2811.3
1986-01-01,2827.1
1986-02-01,2820.2
1986-03-01,2823.6
1986-04-01,2835.2
1986-05-01,2857.5
1986-06-01,2861.7
1986-07-01,2881.2
1986-08-01,2898.6
1986-09-01,2971.8
1986-10-01,2932.9
1986-11-01,2928.4
1986-12-01,2997.1
1987-01-01,2935.5
1987-02-01,3001.7
1987-03-01,3013.3
1987-04-01,3038.8
1987-05-01,3048.4
1987-06-01,3072.8
1987-07-01,3094.7
1987-08-01,3130.8
1987-09-01,3126.5
1987-10-01,3134.5
1987-11-01,3144.2
1987-12-01,3174.1
1988-01-01,3213.7
1988-02-01,3221.4
1988-03-01,3260.5
1988-04-01,3263.0
1988-05-01,3293.6
1988-06-01,3318.5
1988-07-01,3342.7
1988-08-01,3368.0
1988-09-01,3375.0
1988-10-01,3413.7
1988-11-01,3430.2
1988-12-01,3459.7
1989-01-01,3483.7
1989-02-01,3488.0
1989-03-01,3498.8
1989-04-01,3543.0
1989-05-01,3551.8
1989-06-01,3566.6
1989-07-01,3585.7
1989-08-01,3620.6
1989-09-01,3621.9
1989-10-01,3633.6
1989-11-01,3643.3
1989-12-01,3684.2
1990-01-01,3730.7
1990-02-01,3728.2
1990-03-01,3754.9
1990-04-01,3770.0
1990-05-01,3775.8
1990-06-01,3804.5
1990-07-01,3821.7
1990-08-01,3848.3
1990-09-01,3870.1
1990-10-01,3870.6
1990-11-01,3871.9
1990-12-01,3861.3
1991-01-01,3841.0
1991-02-01,3866.7
1991-03-01,3913.0
1991-04-01,3907.1
1991-05-01,3933.2
1991-06-01,3940.5
1991-07-01,3966.0
1991-08-01,3969.1
1991-09-01,3984.7
1991-10-01,3976.0
1991-11-01,4003.6
1991-12-01,4020.5
1992-01-01,4084.7
1992-02-01,4099.5
1992-03-01,4117.0
1992-04-01,4131.5
1992-05-01,4158.4
1992-06-01,4177.1
1992-07-01,4204.8
1992-08-01,4220.9
1992-09-01,4255.3
1992-10-01,4284.7
1992-11-01,4300.5
1992-12-01,4336.4
1993-01-01,4340.7
1993-02-01,4355.3
1993-03-01,4352.5
1993-04-01,4393.4
1993-05-01,4422.4
1993-06-01,4440.0
1993-07-01,4468.9
1993-08-01,4481.1
1993-09-01,4511.5
1993-10-01,4532.8
1993-11-01,4554.1
1993-12-01,4571.1
1994-01-01,4585.1
1994-02-01,4632.6
1994-03-01,4646.0
1994-04-01,4671.1
1994-05-01,4669.5
1994-06-01,4708.9
1994-07-01,4720.6
1994-08-01,4762.6
1994-09-01,4775.0
1994-10-01,4812.9
1994-11-01,4825.6
1994-12-01,4841.6
1995-01-01,4851.2
1995-02-01,4850.8
1995-03-01,4885.4
1995-04-01,4890.2
1995-05-01,4933.1
1995-06-01,4977.5
1995-07-01,4970.2
1995-08-01,5005.3
1995-09-01,5020.5
1995-10-01,5013.9
1995-11-01,5055.6
1995-12-01,5097.5
1996-01-01,5085.7
1996-02-01,5132.8
1996-03-01,5173.3
1996-04-01,5208.0
1996-05-01,5223.8
1996-06-01,5229.8
1996-07-01,5251.9
1996-08-01,5275.0
1996-09-01,5296.6
1996-10-01,5328.5
1996-11-01,5351.2
1996-12-01,5378.6
1997-01-01,5411.1
1997-02-01,5434.0
1997-03-01,5454.2
1997-04-01,5459.3
1997-05-01,5460.2
1997-06-01,5494.2
1997-07-01,5548.8
1997-08-01,5587.0
1997-09-01,5601.7
1997-10-01,5637.7
1997-11-01,5661.1
1997-12-01,5692.1
1998-01-01,5689.9
1998-02-01,5723.8
1998-03-01,5750.3
1998-04-01,5788.1
1998-05-01,5837.9
1998-06-01,5871.7
1998-07-01,5890.0
1998-08-01,5925.0
1998-09-01,5965.6
1998-10-01,5998.8
1998-11-01,6015.4
1998-12-01,6070.5
1999-01-01,6073.9
1999-02-01,6099.2
1999-03-01,6133.0
1999-04-01,6199.5
1999-05-01,6232.1
1999-06-01,6260.3
1999-07-01,6287.6
1999-08-01,6331.9
1999-09-01,6386.5
1999-10-01,6411.4
1999-11-01,6448.7
1999-12-01,6541.0
2000-01-01,6542.9
2000-02-01,6625.3
2000-03-01,6686.5
2000-04-01,6679.1
2000-05-01,6709.7
2000-06-01,6746.9
2000-07-01,6768.5
2000-08-01,6802.8
2000-09-01,6888.6
2000-10-01,6893.8
2000-11-01,6909.8
2000-12-01,6952.2
2001-01-01,6987.4
2001-02-01,7001.8
2001-03-01,6996.7
2001-04-01,7004.2
2001-05-01,7052.8
2001-06-01,7069.7
2001-07-01,7082.3
2001-08-01,7121.7
2001-09-01,7007.0
2001-10-01,7212.9
2001-11-01,7182.3
2001-12-01,7166.7
2002-01-01,7184.6
2002-02-01,7225.2
2002-03-01,7243.4
2002-04-01,7312.5
2002-05-01,7288.9
2002-06-01,7322.5
2002-07-01,7387.3
2002-08-01,7412.6
2002-09-01,7391.5
2002-10-01,7435.2
2002-11-01,7463.8
2002-12-01,7519.9
2003-01-01,7541.3
2003-02-01,7548.6
2003-03-01,7611.5
2003-04-01,7634.5
2003-05-01,7650.3
2003-06-01,7699.6
2003-07-01,7757.0
2003-08-01,7852.1
2003-09-01,7853.7
2003-10-01,7867.4
2003-11-01,7922.6
2003-12-01,7950.4
2004-01-01,8007.1
2004-02-01,8040.4
2004-03-01,8098.8
2004-04-01,8107.2
2004-05-01,8176.5
2004-06-01,8157.6
2004-07-01,8236.9
2004-08-01,8271.6
2004-09-01,8341.5
2004-10-01,8397.1
2004-11-01,8444.5
2004-12-01,8504.4
2005-01-01,8497.7
2005-02-01,8559.1
2005-03-01,8598.4
2005-04-01,8678.4
2005-05-01,8671.6
2005-06-01,8753.4
2005-07-01,8853.8
2005-08-01,8850.1
2005-09-01,8900.4
2005-10-01,8938.5
2005-11-01,8946.2
2005-12-01,8981.1
2006-01-01,9071.6
2006-02-01,9096.0
2006-03-01,9132.9
2006-04-01,9191.6
2006-05-01,9231.8
2006-06-01,9259.6
2006-07-01,9343.8
2006-08-01,9342.2
2006-09-01,9375.4
2006-10-01,9393.6
2006-11-01,9400.2
2006-12-01,9488.3
2007-01-01,9538.7
2007-02-01,9566.0
2007-03-01,9611.7
2007-04-01,9643.6
2007-05-01,9685.8
2007-06-01,9706.8
2007-07-01,9751.1
2007-08-01,9798.9
2007-09-01,9845.1
2007-10-01,9882.7
2007-11-01,9955.9
2007-12-01,9972.8
2008-01-01,9996.4
2008-02-01,9981.7
2008-03-01,10035.3
2008-04-01,10070.3
2008-05-01,10132.3
2008-06-01,10187.1
2008-07-01,10185.1
2008-08-01,10175.7
2008-09-01,10116.4
2008-10-01,10034.1
2008-11-01,9885.2
2008-12-01,9801.5
2009-01-01,9847.2
2009-02-01,9824.5
2009-03-01,9773.2
2009-04-01,9772.5
2009-05-01,9791.6
2009-06-01,9852.4
2009-07-01,9886.3
2009-08-01,10004.1
2009-09-01,9927.8
2009-10-01,9976.7
2009-11-01,9985.7
2009-12-01,10052.6
2010-01-01,10056.1
2010-02-01,10093.4
2010-03-01,10156.0
2010-04-01,10182.3
2010-05-01,10210.8
2010-06-01,10231.3
2010-07-01,10268.1
2010-08-01,10307.1
2010-09-01,10327.1
2010-10-01,10386.4
2010-11-01,10433.6
2010-12-01,10471.0
2011-01-01,10514.3
2011-02-01,10540.6
2011-03-01,10619.7
2011-04-01,10652.1
2011-05-01,10672.2
2011-06-01,10694.8
2011-07-01,10731.6
2011-08-01,10750.3
2011-09-01,10783.2
2011-10-01,10802.9
2011-11-01,10806.8
2011-12-01,10817.8
2012-01-01,10896.8
2012-02-01,10987.2
2012-03-01,10993.9
2012-04-01,11018.5
2012-05-01,11006.8
2012-06-01,10989.8
2012-07-01,11016.8
2012-08-01,11056.0
2012-09-01,11105.3
2012-10-01,11137.4
2012-11-01,11178.4
2012-12-01,11181.2
2013-01-01,11252.4
2013-02-01,11290.5
2013-03-01,11290.1
2013-04-01,11281.1
2013-05-01,11321.6
2013-06-01,11344.4
2013-07-01,11372.6
2013-08-01,11406.6
2013-09-01,11445.9
2013-10-01,11498.0
2013-11-01,11562.5
2013-12-01,11593.2
2014-01-01,11578.8
2014-02-01,11636.9
2014-03-01,11722.3
2014-04-01,11762.3
2014-05-01,11807.3
2014-06-01,11861.7
2014-07-01,11904.4
2014-08-01,11983.7
2014-09-01,11991.4
2014-10-01,12064.7
2014-11-01,12083.9
2014-12-01,12096.1
2015-01-01,12066.7
2015-02-01,12116.6
2015-03-01,12176.1
2015-04-01,12209.1
2015-05-01,12275.4
2015-06-01,12307.9
2015-07-01,12364.9
2015-08-01,12396.2
2015-09-01,12386.4
2015-10-01,12394.9
2015-11-01,12423.2
2015-12-01,12452.0
2016-01-01,12478.0
2016-02-01,12554.5
2016-03-01,12537.0
2016-04-01,12611.5
2016-05-01,12652.7
2016-06-01,12731.2
2016-07-01,12756.7
2016-08-01,12788.1
2016-09-01,12846.6
2016-10-01,12867.0
2016-11-01,12893.0
2016-12-01,13005.9
2017-01-01,13063.7
2017-02-01,13088.4
2017-03-01,13139.9
2017-04-01,13169.2
2017-05-01,13171.9
2017-06-01,13225.2
2017-07-01,13263.3
2017-08-01,13294.6
2017-09-01,13417.3
2017-10-01,13447.5
2017-11-01,13540.6
2017-12-01,13666.1
2018-01-01,13703.3
2018-02-01,13738.7
2018-03-01,13793.2
2018-04-01,13838.4
2018-05-01,13905.0
2018-06-01,13930.4
2018-07-01,13974.8
2018-08-01,14014.0
2018-09-01,14017.8
2018-10-01,14083.1
2018-11-01,14162.9
2018-12-01,14051.6
2019-01-01,14088.4
2019-02-01,14115.5
2019-03-01,14240.1
2019-04-01,14278.3
2019-05-01,14340.8
2019-06-01,14391.2
2019-07-01,14471.8
2019-08-01,14525.7
2019-09-01,14555.6
2019-10-01,14584.0
2019-11-01,14678.6
2019-12-01,14741.3
2020-01-01,14815.7
2020-02-01,14810.7
2020-03-01,13793.0
2020-04-01,12228.3
2020-05-01,13251.4
2020-06-01,14027.1
2020-07-01,14285.1
2020-08-01,14428.4
2020-09-01,14655.0
2020-10-01,14702.5
2020-11-01,14675.8
2020-12-01,14801.8
2021-01-01,15047.3
2021-02-01,14948.2
2021-03-01,15657.6
2021-04-01,15854.1
2021-05-01,15890.0
2021-06-01,16108.5
2021-07-01,16150.8
2021-08-01,16305.6
2021-09-01,16398.9
2021-10-01,16613.8
2021-11-01,16741.6
2021-12-01,16799.2
2022-01-01,16888.6
2022-02-01,16999.7
2022-03-01,17203.6
2022-04-01,17310.5
2022-05-01,17384.8
2022-06-01,17550.0
2022-07-01,17556.4
2022-08-01,17692.2
2022-09-01,17804.0
2022-10-01,17915.1
2022-11-01,17892.5
2022-12-01,17943.6
2023-01-01,18229.6
2023-02-01,18296.5
2023-03-01,18282.6
2023-04-01,18363.8
2023-05-01,18407.8
2023-06-01,18485.4
2023-07-01,18595.4
2023-08-01,18651.6
2023-09-01,18791.5
2023-10-01,18826.8
2023-11-01,18903.0
2023-12-01,19013.7
2024-01-01,19028.0
2024-02-01,19136.0
2024-03-01,19263.7
2024-04-01,19302.7
2024-05-01,19386.4
2024-06-01,19444.0
